;0;Unnamed: 0;Unnamed: 4;aantal;beeld;omschrijving_sluit;sluit_barcode
0;;174.0;;500.0;202011726_layout_12.pdf;Rol 0175   900910005050 | labels tbv 0910005050;8720195286455.0
1;;175.0;;500.0;202011726_layout_12.pdf;Rol 0176   900910005050 | labels tbv 0910005050;8720195286455.0
2;;176.0;;500.0;202011726_layout_13.pdf;Rol 0177   900910006000 | labels tbv 0910006000;8720195286462.0
3;;177.0;;500.0;202011726_layout_13.pdf;Rol 0178   900910006000 | labels tbv 0910006000;8720195286462.0
4;;178.0;;500.0;202011726_layout_13.pdf;Rol 0179   900910006000 | labels tbv 0910006000;8720195286462.0
5;;179.0;;500.0;202011726_layout_13.pdf;Rol 0180   900910006000 | labels tbv 0910006000;8720195286462.0
6;;180.0;;500.0;202011726_layout_13.pdf;Rol 0181   900910006000 | labels tbv 0910006000;8720195286462.0
7;;181.0;;500.0;202011726_layout_13.pdf;Rol 0182   900910006000 | labels tbv 0910006000;8720195286462.0
8;;182.0;;500.0;202011726_layout_13.pdf;Rol 0183   900910006000 | labels tbv 0910006000;8720195286462.0
9;;183.0;;500.0;202011726_layout_13.pdf;Rol 0184   900910006000 | labels tbv 0910006000;8720195286462.0
10;;184.0;;500.0;202011726_layout_13.pdf;Rol 0185   900910006000 | labels tbv 0910006000;8720195286462.0
11;;185.0;;500.0;202011726_layout_13.pdf;Rol 0186   900910006000 | labels tbv 0910006000;8720195286462.0
12;;186.0;;500.0;202011726_layout_13.pdf;Rol 0187   900910006000 | labels tbv 0910006000;8720195286462.0
13;;187.0;;500.0;202011726_layout_13.pdf;Rol 0188   900910006000 | labels tbv 0910006000;8720195286462.0
14;;188.0;;500.0;202011726_layout_13.pdf;Rol 0189   900910006000 | labels tbv 0910006000;8720195286462.0
15;;189.0;;500.0;202011726_layout_13.pdf;Rol 0190   900910006000 | labels tbv 0910006000;8720195286462.0
16;;190.0;;500.0;202011726_layout_13.pdf;Rol 0191   900910006000 | labels tbv 0910006000;8720195286462.0
17;;191.0;;500.0;202011726_layout_13.pdf;Rol 0192   900910006000 | labels tbv 0910006000;8720195286462.0
18;;192.0;;500.0;202011726_layout_13.pdf;Rol 0193   900910006000 | labels tbv 0910006000;8720195286462.0
19;;193.0;;500.0;202011726_layout_13.pdf;Rol 0194   900910006000 | labels tbv 0910006000;8720195286462.0
20;;194.0;;500.0;202011726_layout_13.pdf;Rol 0195   900910006000 | labels tbv 0910006000;8720195286462.0
21;;195.0;;500.0;202011726_layout_13.pdf;Rol 0196   900910006000 | labels tbv 0910006000;8720195286462.0
22;;196.0;;500.0;202011726_layout_14.pdf;Rol 0197   900910006100 | labels tbv 0910006100;8720195286479.0
23;;197.0;;500.0;202011726_layout_14.pdf;Rol 0198   900910006100 | labels tbv 0910006100;8720195286479.0
24;;198.0;;500.0;202011726_layout_14.pdf;Rol 0199   900910006100 | labels tbv 0910006100;8720195286479.0
25;;199.0;;500.0;202011726_layout_14.pdf;Rol 0200   900910006100 | labels tbv 0910006100;8720195286479.0
26;;200.0;;500.0;202011726_layout_15.pdf;Rol 0201   900910020500 | labels tbv 0910020500;8720195286486.0
27;;201.0;;500.0;202011726_layout_15.pdf;Rol 0202   900910020500 | labels tbv 0910020500;8720195286486.0
28;;202.0;;500.0;202011726_layout_15.pdf;Rol 0203   900910020500 | labels tbv 0910020500;8720195286486.0
0;202011726_inschiet_met_rolnummer_baan_8 | 14500 etiketten;;;;;;
0;;203.0;;500.0;202011726_layout_15.pdf;Rol 0204   900910020500 | labels tbv 0910020500;8720195286486.0
1;;204.0;;500.0;202011726_layout_15.pdf;Rol 0205   900910020500 | labels tbv 0910020500;8720195286486.0
2;;205.0;;500.0;202011726_layout_15.pdf;Rol 0206   900910020500 | labels tbv 0910020500;8720195286486.0
3;;206.0;;500.0;202011726_layout_16.pdf;Rol 0207   900910020501 | labels tbv 0910020501;8720195286493.0
4;;207.0;;500.0;202011726_layout_16.pdf;Rol 0208   900910020501 | labels tbv 0910020501;8720195286493.0
5;;208.0;;500.0;202011726_layout_17.pdf;Rol 0209   900990003000 | labels tbv 0990003000;8720195286509.0
6;;209.0;;500.0;202011726_layout_17.pdf;Rol 0210   900990003000 | labels tbv 0990003000;8720195286509.0
7;;210.0;;500.0;202011726_layout_17.pdf;Rol 0211   900990003000 | labels tbv 0990003000;8720195286509.0
8;;211.0;;500.0;202011726_layout_17.pdf;Rol 0212   900990003000 | labels tbv 0990003000;8720195286509.0
