omschrijving_sluit;sluit_barcode;beeld;aantal
Rol 0734   901631000250 | labels tbv 1631000250;8720195286981;202011726_layout_65.pdf;500
Rol 0735   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0736   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0737   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0738   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0739   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0740   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0741   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0742   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0743   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0744   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0745   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0746   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0747   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0748   901631000275 | labels tbv 1631000275;8720195286998;202011726_layout_66.pdf;500
Rol 0749   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0750   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0751   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0752   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0753   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0754   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0755   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0756   901631000300 | labels tbv 1631000300;8720195287001;202011726_layout_67.pdf;500
Rol 0757   901631000375 | labels tbv 1631000375;8720195287018;202011726_layout_68.pdf;500
Rol 0758   901631000375 | labels tbv 1631000375;8720195287018;202011726_layout_68.pdf;500
Rol 0759   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0760   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0761   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0762   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0763   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0764   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0765   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0766   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0767   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0768   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0769   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0770   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0771   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0772   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0773   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0774   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0775   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0776   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0777   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0778   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0779   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0780   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0781   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
